Test, Result Name, Result Value, Comment
Execution Time Test, AES-128-CTR encrypt 1073741824 bytes Test 5, 8.426664512, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1073741824 bytes Test 6, 4.04999874, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1073741824 bytes Test 7, 4.200509142, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1073741824 bytes MIN, 4.04999874, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1073741824 bytes MAX, 234.017575106, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1073741824 bytes AVG, 78.56133203175, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1073741824 bytes Test 0, 4.49191054, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1073741824 bytes Test 1, 4.207250069, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1073741824 bytes Test 2, 4.337526554, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1073741824 bytes Test 3, 4.096597536, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
